Вопрос,Вариант 2,,Вариант 3,Вариант 4,Вариант 5,Вариант 6,Вариант 7,Вариант 8
Я напряжен и взволнован (взвинчен).,никогда,крайне редко,очень редко,редко,иногда,часто,очень часто,постоянно (ежедневно)
У меня ком в горле, и (или) я ощущаю сухость во рту.,никогда,крайне редко,очень редко,редко,иногда,часто,очень часто,постоянно (ежедневно)
Я перегружен работой. Мне совсем не хватает времени.,никогда,крайне редко,очень редко,редко,иногда,часто,очень часто,постоянно (ежедневно)
Я проглатываю пищу или забываю поесть.,никогда,крайне редко,очень редко,редко,иногда,часто,очень часто,постоянно (ежедневно)
"Я обдумываю свои идеи снова и снова, я меняю свои планы, мои мысли постоянно повторяются.",никогда,крайне редко,очень редко,редко,иногда,часто,очень часто,постоянно (ежедневно)
Я чувствую себя одиноким, изолированным и непонятым.,никогда,крайне редко,очень редко,редко,иногда,часто,очень часто,постоянно (ежедневно)
"Я страдаю от физического недомогания, у меня болит голова, напряжены мышцы шеи, боли в спине, спазмы в желудке.",никогда,крайне редко,очень редко,редко,иногда,часто,очень часто,постоянно (ежедневно)
Я поглощён мыслями, измучен или обеспокоен.,никогда,крайне редко,очень редко,редко,иногда,часто,очень часто,постоянно (ежедневно)
Меня внезапно бросает то в жар, то в холод.,никогда,крайне редко,очень редко,редко,иногда,часто,очень часто,постоянно (ежедневно)
Я забываю о встречах или делах, которые должен сделать или решить.,никогда,крайне редко,очень редко,редко,иногда,часто,очень часто,постоянно (ежедневно)
Я легко могу заплакать.,никогда,крайне редко,очень редко,редко,иногда,часто,очень часто,постоянно (ежедневно)
Я чувствую себя уставшим.,никогда,крайне редко,очень редко,редко,иногда,часто,очень часто,постоянно (ежедневно)
Я крепко стискиваю зубы.,никогда,крайне редко,очень редко,редко,иногда,часто,очень часто,постоянно (ежедневно)
Я не спокоен.,никогда,крайне редко,очень редко,редко,иногда,часто,очень часто,постоянно (ежедневно)
Мне тяжело дышать, и (или) у меня внезапно перехватывает дыхание.,никогда,крайне редко,очень редко,редко,иногда,часто,очень часто,постоянно (ежедневно)
Я имею проблемы с пищеварением и с кишечником (боли, колики, расстройства или запоры).,никогда,крайне редко,очень редко,редко,иногда,часто,очень часто,постоянно (ежедневно)
Я взволнован, обеспокоен или смущен.,никогда,крайне редко,очень редко,редко,иногда,часто,очень часто,постоянно (ежедневно)
"Я легко пугаюсь, шум или шорох заставляет меня вздрагивать.",никогда,крайне редко,очень редко,редко,иногда,часто,очень часто,постоянно (ежедневно)
Мне необходимо более чем полчаса для того, чтобы заснуть.,никогда,крайне редко,очень редко,редко,иногда,часто,очень часто,постоянно (ежедневно)
"Я сбит с толку, мои мысли спутаны, мне не хватает сосредоточенности, и я не могу сконцентрировать внимание.",никогда,крайне редко,очень редко,редко,иногда,часто,очень часто,постоянно (ежедневно)
"У меня усталый вид, мешки или круги под глазами.",никогда,крайне редко,очень редко,редко,иногда,часто,очень часто,постоянно (ежедневно)
Я чувствую тяжесть на своих плечах.,никогда,крайне редко,очень редко,редко,иногда,часто,очень часто,постоянно (ежедневно)
"Я встревожен. Мне необходимо постоянно двигаться, я не могу устоять на одном месте.",никогда,крайне редко,очень редко,редко,иногда,часто,очень часто,постоянно (ежедневно)
Мне трудно контролировать свои поступки, эмоции, настроение или жесты.,никогда,крайне редко,очень редко,редко,иногда,часто,очень часто,постоянно (ежедневно)
Я напряжен.,никогда,крайне редко,очень редко,редко,иногда,часто,очень часто,постоянно (ежедневно)
